total_engagement_percentage,page_engagement_percentage,share_percentage,comment_percentage,post_category
6.4680233,7.2560976,17,4,Product
13.9292543,18.1282723,17.6829268,3.0487805,Product
7.3352673,8.7824351,17.5,0,Inspiration
4.4107086,4.3247629,8.2723692,3.263928,Product
9.2628382,12.375,12.4681934,4.8346056,Product
11.3731856,12.9393785,17.7419355,0.5376344,Product
4.1139241,4.063036,9.6774194,1.0752688,Inspiration
3.9139942,3.816932,4.1297935,0,Inspiration
12.9179331,15.7987867,16.1458333,0,Product
5.9650618,8.5628227,18.3098592,2.1126761,Inspiration
19.5824135,20.0401013,7.5396825,0,Product
6.6838046,7.5896964,16.9811321,0,Product
6.7790657,7.3359073,13.4615385,0,Product
9.7685367,9.5461659,6.5789474,3.2894737,Product
3.8930829,3.5418393,3.3388982,0.3338898,Product
12.5646123,13.5938231,16.6666667,3.7037037,Product
9.4657375,11.7142857,22.2222222,3.7037037,Inspiration
3.2029138,3.285901,2.8050491,2.1037868,Action
3.307888,4.1908714,22.6666667,5.3333333,Inspiration
7.6052797,8.6132644,19.047619,0,Inspiration
7.0224719,7.9979623,14.8148148,3.7037037,Product
3.4163289,3.4193548,11.1111111,0,Action
6.4634594,8.821715,25,0,Inspiration
15.7987747,18.9740656,15.7024793,2.4793388,Product
18.3606953,22.3380491,16.9811321,0,Product
14.351473,18.1087134,14.5748988,2.0242915,Product
8.5552865,11.5038115,14.5299145,0,Inspiration
10.1778243,13.0791912,10.1286174,5.7877814,Product
3.1512373,3.9611678,7.4712644,10.3448276,Action
7.7935223,9.3174061,13.5802469,20.3703704,Product
11.4081996,15.2680653,28.2051282,2.5641026,Product
6.969697,11.0652353,23.0392157,0.9803922,Inspiration
8.9273817,11.575179,18.4,3.2,Inspiration
7.9129049,8.3049694,22.6666667,2.6666667,Action
9.375,10.6973595,10.5527638,3.0150754,Product
9.3680297,11.522872,15.0442478,0,Inspiration
2.4191919,9.0116279,8,16,Action
30.4506145,34.8032564,11.5241636,4.0892193,Product
9.3009119,9.5588235,23.7288136,1.6949153,Action
15.4743976,18.364726,14.8854962,2.6717557,Product
2.797619,4.7245261,8.5308057,2.8436019,Action
28.7149147,27.8325817,8.3333333,19.4444444,Action
5.0661626,7.3347858,21.7391304,15.2173913,Action
8.286648,8.007705,18.9655172,0,Action
2.5853414,3.95189,14.084507,5.6338028,Action
21.5492278,23.3860956,16.8224299,1.8691589,Action
5.038961,6.5254237,25,18.75,Action
8.9276281,8.7064677,16.3043478,0,Action
5.46875,5.4015636,7.1428571,7.1428571,Action
6.25,6.25,15.5172414,1.7241379,Product
2.8754753,5.2393123,8.3086053,7.1216617,Action
7.2537801,9.0707965,12.8099174,3.7190083,Action
8.0749574,9.8336595,21.8390805,4.5977011,Action
10.7216495,11.589404,15.6626506,4.8192771,Action
2.7960526,3.7938963,17.2839506,2.4691358,Action
5.9015829,8.683068,24.5454545,0.9090909,Action
6.4833006,7.0489216,24.5283019,0,Action
10.1905184,10.7899807,12.2222222,3.3333333,Action
1.5551123,2.7079901,10.625,2.5,Action
3.8117002,6.254902,11.3821138,6.504065,Action
1.2374293,2.7235516,6.1728395,4.9382716,Action
2.7893712,5.472103,6.4356436,4.950495,Action
1.9878013,4.0592784,8.9795918,1.6326531,Action
9.8639456,10.278251,10.1449275,2.8985507,Action
10.4215457,11.7252931,19.3277311,15.9663866,Action
9.1670544,9.8170732,12.7272727,0,Action
2.9482191,5.9281116,8.8945362,2.5412961,Action
9.7324723,11.1111111,24.2857143,0,Action
11.6054159,15.4494382,23.5294118,5.8823529,Action
1.49451,2.9494382,5.5555556,4.3209877,Action
2.0849873,4.6875,15.2727273,3.0909091,Action
11.1086572,14.2857143,16.1172161,1.0989011,Inspiration
4.8497029,10.1388889,20.1716738,6.0085837,Action
3.8171884,3.8010204,11.4035088,1.754386,Action
3.0768408,6.6544118,14.6534653,3.960396,Action
1.9056735,5.273752,8.2474227,4.1237113,Action
15.017301,15.3233831,12.5,0,Product
17.5279702,18.5483871,18.4210526,5.2631579,Action
26.2946838,28.5811547,12.8712871,1.980198,Product
10.9682805,16.2861492,12.0181406,4.0816327,Inspiration
9.908337,17.7119628,22.6190476,1.984127,Action
10.9257999,12.7705628,15.5737705,1.6393443,Inspiration
2.9736999,4.676259,13.6752137,1.7094017,Inspiration
14.964926,14.7286822,5.0632911,6.3291139,Action
1.558368,3.5251524,19.0184049,1.2269939,Action
13.7088734,18.1695221,12.2186495,0.9646302,Inspiration
13.8471587,20.7246377,15.3846154,7.6923077,Action
12.7297481,13.8113571,13.4920635,1.5873016,Action
3.4182848,6.2068966,18.2897862,3.087886,Action
12.9337539,14.7826087,14.2857143,0,Product
12.8275571,14.190051,9.3567251,2.6315789,Inspiration
13.9325843,16.774658,12.4031008,1.5503876,Inspiration
12.033511,15.2024922,14.8648649,1.3513514,Product
12.6537217,16.3140312,14.5945946,2.7027027,Inspiration
29.4277929,31.25,16.9230769,4.6153846,Action
11.280596,14.7965475,18.3098592,0.7042254,Product
17.1880013,21.7522263,16.1375661,1.8518519,Product
6.1443331,7.3717949,20.9302326,2.7906977,Action
3.8086391,6.8245968,5.8425584,1.599016,Product
16.8322618,18.3363148,17.721519,2.5316456,Inspiration
16.1383285,14.1680395,23.5294118,0,Action
13.4971645,12.6130414,12.5,5.5555556,Action
4.584854,7.4825311,12.2359155,3.6971831,Action
12.3026674,17.3544974,14.4144144,4.0540541,Inspiration
11.9107744,12.8807773,11.7647059,7.1428571,Product
13.1904369,14.7268409,10.8108108,4.7297297,Inspiration
19.2041522,21.5874233,18.4501845,1.4760148,Product
20.2032277,18.2437032,11.7647059,5.8823529,Action
12.8088962,15.1282051,12.9496403,2.8776978,Product
16.5693758,17.9788484,16.4948454,2.0618557,Product
23.241206,22.4896836,11.7647059,0,Action
39.7293973,40.2877698,33.3333333,0,Action
5.6197218,5.4474216,5.6768559,0.2183406,Action
41.563786,40.3076923,0,0,Action
47.8417266,49.8579545,22.2222222,0,Action
33.4605598,33.6363636,25,0,Action
17.2799697,19.8203492,17.2413793,2.5862069,Product
41.5185784,42.0542636,50,25,Action
37.1150729,36.6602687,33.3333333,16.6666667,Action
34.859675,33.7931034,22.2222222,0,Action
14.0819964,22.9988053,16.9421488,1.2396694,Inspiration
30.2543507,30.6962025,10,0,Action
30.2325581,29.9638989,20,0,Action
27.3209549,25.3623188,0,0,Action
22.7472527,22.5063939,20,0,Action
22.2222222,20.5414013,30,0,Action
30.1972686,29.3402778,20,10,Action
32.8220859,30.952381,8.3333333,0,Action
24.85482,25.1046025,11.7647059,5.8823529,Action
11.4905149,11.4589666,17.6470588,0,Action
4.373928,5.2045728,33.3333333,0,Action
19.4444444,19.7002141,7.6923077,10.2564103,Action
16.6366906,18.4045584,16.2337662,0,Product
10.6520657,11.7312834,19,4,Action
1.4958256,7.9058765,21.7821782,7.4257426,Action
19.3354623,22.1595331,13.5849057,0.754717,Inspiration
19.7970195,24.2464539,8.9197225,5.9464817,Product
4.2560801,9.516129,13.4228188,2.2371365,Inspiration
2.8815831,8.1983025,16.9811321,5.6603774,Action
9.9173554,11.050814,14.5833333,6.25,Action
2.3233996,12.5,7.3529412,0,Inspiration
13.2256656,14.6836912,14.893617,0,Inspiration
18.3078928,20.4596162,15.6424581,1.6759777,Product
3.0696903,4.3498597,31.4285714,0,Action
5.2646058,7.5440735,11.1716621,6.5395095,Action
11.8952618,14.9872989,16,1,Product
12.2790981,13.9910537,10.7929515,10.3524229,Product
9.4403158,8.7402886,12.9533679,3.626943,Action
13.3979885,16.9829222,14.2118863,3.3591731,Product
19.1097923,24.8688353,22.8571429,0,Product
12.486688,14.2801252,18.404908,9.8159509,Product
14.6837349,17.9442509,15.3284672,0.729927,Inspiration
12.22965,14.827168,13.8888889,11.9047619,Product
16.836983,18.3808892,13.2653061,1.0204082,Product
8.0669224,8.6039886,9.7799511,1.4669927,Inspiration
14.9799599,17.9752066,11.3475177,2.1276596,Product
10.2369542,16.2576687,23.902439,5.3658537,Inspiration
16.609589,19.7536946,14.2361111,1.3888889,Product
15.5913978,17.5587794,14.3939394,0,Product
3.7456697,4.2917034,5.952381,2.3809524,Action
8.2992185,9.2339979,11.4901257,1.4362657,Inspiration
8.0268674,10.1586391,10.5369807,7.2948328,Action
18.0412371,19.8924731,13.2231405,4.9586777,Product
12.7678571,15.3846154,11.9815668,1.3824885,Inspiration
23.331173,21.742671,15.7894737,5.2631579,Action
22.7700414,24.5452478,11.8421053,16.6666667,Product
12.1543265,15.8374793,17.7777778,2.6666667,Action
13.2787631,16.4755352,13.9917695,2.0576132,Product
20.2406174,22.8889758,11.6402116,1.0582011,Product
8.0927188,10.1398076,8.3475298,2.4701874,Inspiration
10.3737113,12.3256972,14.4927536,0.7246377,Action
13.8556884,19.4764862,14.0468227,2.3411371,Product
14.9916248,19.0207156,18.556701,2.0618557,Product
16.1771153,18.7676255,14.5728643,10.0502513,Product
4.4587337,6.0916767,7.0175439,3.5087719,Action
13.8028169,17.9276316,16.2361624,0.3690037,Inspiration
