"","gene","tissue","prot","mrna"
"1","ENSG00000000419","uterus",9.96648441566619e-06,3.44000000339386e-05
"3","ENSG00000000971","uterus",3.63351614284254e-05,1.41999999874753e-05
"5","ENSG00000001084","uterus",1.69358794225575e-05,1.9200000013106e-05
"8","ENSG00000002549","uterus",6.74570552956205e-05,3.64000000294141e-05
"11","ENSG00000002834","uterus",5.54802357709818e-05,3.88999999708262e-05
"14","ENSG00000004059","uterus",1.21449345304078e-05,8.3299999921976e-05
"15","ENSG00000004455","uterus",8.81609487048865e-05,5.51000000188044e-05
"17","ENSG00000004478","uterus",1.90005861180212e-05,4.65000000117827e-05
"18","ENSG00000004487","uterus",3.20599481764474e-07,3.41999999955795e-05
"19","ENSG00000004700","uterus",1.07193131642224e-05,2.8199999979263e-05
"21","ENSG00000004776","uterus",0.000111868852678301,6.40000000023745e-05
"26","ENSG00000005007","uterus",1.23632472586611e-06,2.00000000154742e-05
"27","ENSG00000005022","uterus",1.12091186692702e-05,0.000100700000103503
"33","ENSG00000005249","uterus",4.6577304109769e-06,1.47999999865405e-05
"37","ENSG00000005884","uterus",1.27859649036707e-05,2.1500000004178e-05
"38","ENSG00000005893","uterus",6.63765995671305e-05,6.78999999561448e-05
"40","ENSG00000006125","uterus",1.90231202411693e-05,3.94000000158242e-05
"42","ENSG00000006451","uterus",6.83267939331886e-06,2.31000000057368e-05
"46","ENSG00000006625","uterus",1.49569298582287e-05,2.58000000021844e-05
"53","ENSG00000007168","uterus",4.75142576113382e-05,4.59000000489062e-05
"57","ENSG00000008018","uterus",5.06315978239943e-05,0.000124699999862595
"58","ENSG00000008282","uterus",0.00010438817236604,9.64000000215686e-05
"61","ENSG00000008311","uterus",3.09247840783388e-07,2.1200000003478e-05
"69","ENSG00000009307","uterus",5.69627850672833e-07,0.000203600000157181
"74","ENSG00000010256","uterus",2.42825129489058e-05,9.42000000449256e-05
"75","ENSG00000010278","uterus",0.00018333065243314,0.000197299999885429
