date,EUR,GBP,USD
2010-01-04,0.67431,0.60499,0.96487
2010-01-11,0.66984,0.5978,0.97033
2010-01-18,0.67691,0.59153,0.96094
2010-01-25,0.66952,0.58195,0.94101
2010-02-01,0.67691,0.59178,0.93915
2010-02-08,0.68719,0.60238,0.94097
2010-02-15,0.7021,0.61164,0.95584
2010-02-22,0.7018,0.61913,0.95179
2010-03-01,0.70947,0.64225,0.96438
2010-03-08,0.71434,0.6482,0.97507
2010-03-15,0.72166,0.64979,0.98708
2010-03-22,0.72966,0.65507,0.97826
2010-03-29,0.73003,0.65107,0.98372
2010-04-05,0.74566,0.65399,0.99575
2010-04-12,0.7354,0.64709,0.99809
2010-04-19,0.74228,0.64728,0.99376
2010-04-26,0.74934,0.65019,0.9955
2010-05-03,0.75301,0.64719,0.97477
2010-05-10,0.77184,0.66118,0.97916
2010-05-17,0.77024,0.66351,0.95325
2010-05-24,0.76617,0.65335,0.94284
2010-05-31,0.78327,0.65481,0.95575
2010-06-07,0.79662,0.6585,0.9573
2010-06-14,0.7907,0.65854,0.97288
2010-06-21,0.78833,0.65165,0.96926
2010-06-28,0.77012,0.63076,0.9501
2010-07-05,0.75438,0.62772,0.95014
2010-07-12,0.75861,0.63471,0.96601
2010-07-19,0.74283,0.62624,0.95625
2010-07-26,0.74488,0.62242,0.96916
2010-08-02,0.74349,0.61615,0.97933
2010-08-09,0.74118,0.61299,0.96339
2010-08-16,0.75245,0.61807,0.96471
2010-08-23,0.7456,0.61031,0.94445
2010-08-30,0.74189,0.61404,0.9471
2010-09-06,0.75569,0.62587,0.96358
2010-09-13,0.75131,0.62719,0.9734
2010-09-20,0.73212,0.62128,0.97072
2010-09-27,0.71602,0.61429,0.97265
2010-10-04,0.71048,0.61878,0.98309
2010-10-11,0.71048,0.62325,0.99346
2010-10-18,0.70156,0.61945,0.97608
2010-10-25,0.70333,0.61623000000000006,0.97707
2010-11-01,0.70587,0.61491,0.99224
2010-11-08,0.72134,0.61772,0.9961
2010-11-15,0.7226,0.61496,0.98331
2010-11-22,0.73319,0.62142,0.98292
2010-11-29,0.75013,0.63213,0.98507
2010-12-06,0.74806,0.62926,0.99192
2010-12-13,0.74644,0.63374,0.99366
2010-12-20,0.75126,0.63759,0.98528
2010-12-27,0.75512,0.64647,0.99841
2011-01-03,0.7615,0.64745,1.0057
2011-01-10,0.77131,0.64376,1.0084
2011-01-17,0.75024,0.63124,1.008
2011-01-24,0.73508,0.63177,1.0037
2011-01-31,0.73432,0.62597,1.0079
2011-02-07,0.74085,0.6271,1.007
2011-02-14,0.75019,0.63013,1.0149
2011-02-21,0.73964,0.62734,1.0148
2011-02-28,0.7414,0.63158,1.0272
2011-03-07,0.7403,0.6364,1.0282
2011-03-14,0.72653,0.6309,1.0159
2011-03-21,0.72197,0.62975,1.0221
2011-03-28,0.7287,0.64181,1.028
2011-04-04,0.72945,0.64019,1.0415
2011-04-11,0.71989,0.63756,1.0402
2011-04-18,0.72595,0.63948,1.0468
2011-04-25,0.71347,0.63393,1.0513
2011-05-02,0.70781,0.63259,1.0449
2011-05-09,0.72685,0.63614,1.04
2011-05-16,0.72401,0.63487,1.0287
2011-05-23,0.72406,0.62923,1.0225
2011-05-30,0.71256,0.62515,1.0263
2011-06-06,0.70107,0.62443,1.0229
2011-06-13,0.71567,0.62967,1.0227
2011-06-20,0.71592,0.63537,1.0228
2011-06-27,0.71347,0.64087,1.025
2011-07-04,0.72396,0.64867,1.0392
2011-07-11,0.73654,0.64876,1.0378
2011-07-18,0.74008,0.6504,1.0513
2011-07-25,0.73611,0.64729,1.0573
2011-08-01,0.7269,0.6345,1.0361
2011-08-08,0.70962,0.62142,1.0112
2011-08-15,0.70611,0.61762,1.0154
2011-08-22,0.70244,0.61725,1.0134
2011-08-29,0.71129,0.62792,1.0225
2011-09-05,0.72067,0.63027,1.0107
2011-09-12,0.73535,0.63791,1.0087
2011-09-19,0.73158,0.63781,0.99298
2011-09-26,0.71577,0.6225,0.97101
2011-10-03,0.71721,0.61833,0.9546
2011-10-10,0.71418,0.6235,0.97843
2011-10-17,0.71505,0.6238,0.98513
2011-10-24,0.71413,0.62369,0.99836
2011-10-31,0.71762,0.61869,0.9901
2011-11-07,0.71777,0.61421,0.98234
2011-11-14,0.72166,0.61722,0.97756
2011-11-21,0.71597,0.61609,0.95912
2011-11-28,0.72854,0.62465,0.97778
2011-12-05,0.73529,0.62929,0.98537
2011-12-12,0.74014,0.62366,0.96973
2011-12-19,0.74499,0.62199,0.97251
2011-12-26,0.75477,0.63005,0.98068
2012-01-02,0.76208,0.63321,0.98316
2012-01-09,0.76923,0.63721,0.98092
2012-01-16,0.76959,0.64049,0.98669
2012-01-23,0.76104,0.63588,0.99315
2012-01-30,0.76028,0.63285,0.99924
2012-02-06,0.76046,0.63364,1.0024
2012-02-13,0.76272,0.63624,1.0015
2012-02-20,0.75534,0.63619,1.0036
2012-02-27,0.75443,0.63439,1.0081
2012-03-05,0.76132,0.63596,1.0038
2012-03-12,0.77095,0.64286,1.0086
2012-03-19,0.76173,0.63455,1.0052
2012-03-26,0.75386,0.6302,1.0038
2012-04-02,0.76005,0.63014,1.0041
2012-04-09,0.76254,0.62955,1.0017
2012-04-16,0.76775,0.62973,1.0061
2012-04-23,0.76811,0.62725,1.013
2012-04-30,0.77125,0.62629,1.0142
2012-05-07,0.77042,0.61987,1.0002
2012-05-14,0.77646,0.62184,0.99146
2012-05-21,0.77244,0.62133,0.9776
2012-05-28,0.7807,0.6249,0.97197
2012-06-04,0.77459,0.62608,0.96692
2012-06-11,0.77694,0.6276,0.97452
2012-06-18,0.77459,0.62407,0.97831
2012-06-25,0.77985,0.62513,0.97403
2012-07-02,0.78796,0.63115,0.98542
2012-07-09,0.80115,0.6329,0.98061
2012-07-16,0.80743,0.63236,0.98797
2012-07-23,0.80978000000000006,0.6328,0.9864
2012-07-30,0.81189,0.638,0.99732
2012-08-06,0.81268,0.64208,1.0031
2012-08-13,0.81974,0.64298,1.0097
2012-08-20,0.81123,0.6393,1.0097
2012-08-27,0.80496,0.63838,1.0107
2012-09-03,0.80444,0.63775,1.0147
2012-09-10,0.79732,0.63915,1.028
2012-09-17,0.78777,0.63211,1.0254
2012-09-24,0.78964,0.62858,1.0186
2012-10-01,0.78592,0.62983,1.0164
2012-10-08,0.79076,0.63783,1.0231
2012-10-15,0.77888,0.6314,1.0171
2012-10-22,0.77513,0.6267,1.0063
2012-10-29,0.77381,0.62245,1.001
2012-11-05,0.78697,0.62848,1.0035
2012-11-12,0.78481,0.62975,0.99922
2012-11-19,0.78149,0.62978,1.0031
2012-11-26,0.77706,0.62884,1.007
2012-12-03,0.77274,0.6265,1.0075
2012-12-10,0.7793,0.62985,1.015
2012-12-17,0.76587,0.62337,1.0124
2012-12-24,0.76138,0.6229,1.0067
2012-12-31,0.76899,0.62542,1.0106
2013-01-07,0.7734,0.63135,1.0142
2013-01-14,0.76005,0.6328,1.0129
2013-01-21,0.75053,0.63264,1.0026
2013-01-28,0.73681,0.63146,0.99632
2013-02-04,0.74228,0.63742,1.0024
2013-02-11,0.74377,0.63976,0.99606
2013-02-18,0.74178,0.64158,0.98576
2013-02-25,0.74239,0.6435,0.97409
2013-03-04,0.7456,0.64483,0.97189
2013-03-11,0.74979,0.65189,0.97548
2013-03-18,0.75512,0.64513,0.97674
2013-03-25,0.7647,0.64834,0.98203
2013-04-01,0.76687,0.65028,0.98604
2013-04-08,0.75512,0.64324,0.98648
2013-04-15,0.74588,0.63852,0.9771
2013-04-22,0.74963,0.63662,0.97616
2013-04-29,0.75392,0.63669,0.98929
2013-05-06,0.7589,0.64094,0.99385
2013-05-13,0.76057,0.64328,0.98228
2013-05-20,0.7525,0.64151,0.97028
2013-05-27,0.74582,0.63801,0.96629
2013-06-03,0.73997,0.63032,0.97003
2013-06-10,0.73959,0.62918,0.98181
2013-06-17,0.73303,0.62562,0.97486
2013-06-24,0.72961,0.62137,0.95367
2013-07-01,0.73121,0.62646,0.94882
2013-07-08,0.73844,0.63689,0.95407
2013-07-15,0.73378,0.6337,0.96096
2013-07-22,0.73448,0.63252,0.97033
2013-07-29,0.73206,0.63613,0.97028
2013-08-05,0.72359,0.62415,0.96346
2013-08-12,0.72886,0.62378,0.96866
2013-08-19,0.7169,0.61293,0.95777
2013-08-26,0.71464,0.61337,0.95112
2013-09-02,0.72354,0.61124,0.95319
2013-09-09,0.72934,0.61373,0.96689
2013-09-16,0.72443,0.60846,0.97254
2013-09-23,0.71875,0.60503,0.9706
2013-09-30,0.71475,0.59909,0.96862
2013-10-07,0.71245,0.60271,0.96552
2013-10-14,0.71185,0.60269,0.96761
2013-10-21,0.70343,0.5981,0.96616
2013-10-28,0.69959,0.59641,0.95781
2013-11-04,0.7121,0.59724,0.9587
2013-11-11,0.71038,0.59637,0.95383
2013-11-18,0.70746,0.59206,0.95557
2013-11-25,0.69754,0.58204,0.94671
2013-12-02,0.69089,0.57348,0.93906
